Україна	2
ядерний	-2
зброя	-2
наголосити	0
США	1
Росія	-2
російський	-2
НАТО	1
грузинський	0
президент	1
залишатися	0
повернення	1
грудень	0
зазначити	0
оборона	1
легіон	1
рішення	0
нагадати	0
захист	1
союзник	1
слово	0
мін.	0
подія	0
РФ	-2
фронт	-1
війна	-2
напрямок	0
ситуація	0
повідомити	0
заступник	0
новий	1
Орєшнік	0
можливість	1
Байден	1
безпека	2
країна	1
система	0
будь-який	0
міністр	0
південний	0
Корея	0
знаходитися	0
агресія	-2
підтримувати	1
покровський	0
складний	-1
глава	0
держава	1
Зеленський	2
заявити	0
удар	-2
ракет	-2
американський	1
адміністрація	0
світ	0
військовий	-1
Ступак	0
питання	0
український	2
Сибіг	-1
закликати	1
партія	0
спростувати	0
фейк	-2
Грузія	0
боротьба	-1
ворог	-2
продовжувати	0
мета	1
писати	0
надати	0
результат	1
запорізький	0
вівторок	0
окупант	-2
дія	0
сила	1
військо	-1
армія	-1
місто	0
немати	-1
мирний	2
генеральний	0
Дніпро	0
рада	0
стати	0
тип	0
можливо	0
подібний	0
розглядатися	0
національний	1
Салліван	0
New	0
повідомляти	0
захід	1
серйозний	-1
коментар	0
потужність	1
головний	1
видання	0
